list_size,threads,time_seconds,speedup_serial,efficiency_serial,speedup_1thread,efficiency_1thread
50000,0,0.8586,1.00,100.00,0.00,0.00
50000,1,1.1404,0.75,75.29,1.00,100.00
50000,2,0.5825,1.47,73.70,1.96,97.89
50000,4,0.3853,2.23,55.71,2.96,73.99
100000,0,4.4958,1.00,100.00,0.00,0.00
100000,1,5.1441,0.87,87.40,1.00,100.00
100000,2,2.5374,1.77,88.59,2.03,101.37
100000,4,1.7078,2.63,65.81,3.01,75.30
500000,0,124.5874,1.00,100.00,0.00,0.00
500000,1,141.6339,0.88,87.96,1.00,100.00
500000,2,73.2816,1.70,85.01,1.93,96.64
500000,4,50.3472,2.47,61.86,2.81,70.33
50000,0,0.8659,1.00,100.00,0.00,0.00
50000,1,1.1236,0.77,77.06,1.00,100.00
50000,2,0.5485,1.58,78.93,2.05,102.42
50000,4,0.3587,2.41,60.35,3.13,78.32
100000,0,4.4719,1.00,100.00,0.00,0.00
100000,1,5.1778,0.86,86.37,1.00,100.00
100000,2,2.6586,1.68,84.10,1.95,97.38
100000,4,1.7809,2.51,62.78,2.91,72.69
500000,0,125.0662,1.00,100.00,0.00,0.00
500000,1,141.8035,0.88,88.20,1.00,100.00
500000,2,72.5951,1.72,86.14,1.95,97.67
500000,4,52.2098,2.40,59.89,2.72,67.90
50000,0,0.8813,1.00,100.00,0.00,0.00
50000,1,1.1435,0.77,77.07,1.00,100.00
50000,2,0.5572,1.58,79.08,2.05,102.61
50000,4,0.3826,2.30,57.58,2.99,74.71
100000,0,4.5159,1.00,100.00,0.00,0.00
100000,1,5.2394,0.86,86.19,1.00,100.00
100000,2,2.6424,1.71,85.45,1.98,99.14
100000,4,1.8628,2.42,60.61,2.81,70.32
500000,0,125.2760,1.00,100.00,0.00,0.00
500000,1,141.2090,0.89,88.72,1.00,100.00
500000,2,72.9529,1.72,85.86,1.94,96.78
500000,4,51.0090,2.46,61.40,2.77,69.21
50000,0,0.8724,1.00,100.00,0.00,0.00
50000,1,1.1226,0.78,77.71,1.00,100.00
50000,2,0.5615,1.55,77.68,2.00,99.96
50000,4,0.3610,2.42,60.41,3.11,77.74
100000,0,4.4949,1.00,100.00,0.00,0.00
100000,1,5.2031,0.86,86.39,1.00,100.00
100000,2,2.6518,1.69,84.75,1.96,98.10
100000,4,1.7608,2.55,63.82,2.95,73.87
500000,0,124.8110,1.00,100.00,0.00,0.00
500000,1,141.2837,0.88,88.34,1.00,100.00
500000,2,72.9213,1.71,85.58,1.94,96.87
500000,4,51.1223,2.44,61.04,2.76,69.09
50000,0,0.9192,1.00,100.00,0.00,0.00
50000,1,1.1301,0.81,81.34,1.00,100.00
50000,2,0.5493,1.67,83.68,2.06,102.87
50000,4,0.3825,2.40,60.07,2.95,73.85
100000,0,4.5051,1.00,100.00,0.00,0.00
100000,1,5.2347,0.86,86.06,1.00,100.00
100000,2,2.6446,1.70,85.17,1.98,98.97
100000,4,1.8221,2.47,61.81,2.87,71.82
500000,0,125.1912,1.00,100.00,0.00,0.00
500000,1,142.9393,0.88,87.58,1.00,100.00
500000,2,72.1860,1.73,86.71,1.98,99.01
500000,4,51.7954,2.42,60.43,2.76,68.99
