list_size,threads,time_seconds,speedup_serial,efficiency_serial,speedup_1thread,efficiency_1thread
50000,0,0.9841,1.00,100.00,0.00,0.00
50000,1,0.8951,1.10,109.95,1.00,100.00
50000,2,0.6576,1.50,74.82,1.36,68.05
50000,4,0.7611,1.29,32.33,1.18,29.40
100000,0,4.9473,1.00,100.00,0.00,0.00
100000,1,4.6951,1.05,105.37,1.00,100.00
100000,2,2.7869,1.78,88.76,1.68,84.23
100000,4,2.6938,1.84,45.91,1.74,43.57
500000,0,135.2557,1.00,100.00,0.00,0.00
500000,1,125.6089,1.08,107.68,1.00,100.00
500000,2,79.2379,1.71,85.35,1.59,79.26
500000,4,52.6023,2.57,64.28,2.39,59.70
50000,0,0.9840,1.00,100.00,0.00,0.00
50000,1,0.9086,1.08,108.30,1.00,100.00
50000,2,0.6238,1.58,78.87,1.46,72.83
50000,4,0.7755,1.27,31.72,1.17,29.29
100000,0,4.8844,1.00,100.00,0.00,0.00
100000,1,4.6102,1.06,105.95,1.00,100.00
100000,2,2.7780,1.76,87.91,1.66,82.98
100000,4,2.4243,2.01,50.37,1.90,47.54
500000,0,134.6841,1.00,100.00,0.00,0.00
500000,1,125.6867,1.07,107.16,1.00,100.00
500000,2,79.9034,1.69,84.28,1.57,78.65
500000,4,51.7637,2.60,65.05,2.43,60.70
50000,0,0.9808,1.00,100.00,0.00,0.00
50000,1,0.8949,1.10,109.59,1.00,100.00
50000,2,0.5962,1.64,82.25,1.50,75.05
50000,4,0.8091,1.21,30.31,1.11,27.65
100000,0,4.8648,1.00,100.00,0.00,0.00
100000,1,4.5830,1.06,106.15,1.00,100.00
100000,2,2.7427,1.77,88.69,1.67,83.55
100000,4,2.6347,1.85,46.16,1.74,43.49
500000,0,135.7965,1.00,100.00,0.00,0.00
500000,1,125.6448,1.08,108.08,1.00,100.00
500000,2,80.2302,1.69,84.63,1.57,78.30
500000,4,51.9757,2.61,65.32,2.42,60.43
50000,0,0.9927,1.00,100.00,0.00,0.00
50000,1,0.9232,1.08,107.52,1.00,100.00
50000,2,0.6387,1.55,77.71,1.45,72.27
50000,4,0.7831,1.27,31.69,1.18,29.47
100000,0,4.9900,1.00,100.00,0.00,0.00
100000,1,4.7639,1.05,104.75,1.00,100.00
100000,2,2.8512,1.75,87.51,1.67,83.54
100000,4,2.6977,1.85,46.24,1.77,44.15
500000,0,135.4153,1.00,100.00,0.00,0.00
500000,1,125.7955,1.08,107.65,1.00,100.00
500000,2,80.1659,1.69,84.46,1.57,78.46
500000,4,51.9433,2.61,65.17,2.42,60.54
50000,0,0.9791,1.00,100.00,0.00,0.00
50000,1,0.9158,1.07,106.91,1.00,100.00
50000,2,0.6158,1.59,79.50,1.49,74.36
50000,4,0.7910,1.24,30.94,1.16,28.94
100000,0,4.8904,1.00,100.00,0.00,0.00
100000,1,4.5520,1.07,107.43,1.00,100.00
100000,2,2.7250,1.79,89.73,1.67,83.52
100000,4,2.7267,1.79,44.84,1.67,41.74
500000,0,134.5742,1.00,100.00,0.00,0.00
500000,1,125.2824,1.07,107.42,1.00,100.00
500000,2,81.2095,1.66,82.86,1.54,77.14
500000,4,52.6257,2.56,63.93,2.38,59.52
